========== INFO ==========
Create Date: 2021-01-11
Last Reply: 
==========================

萤火虫也很美 。
在度薄的眼镜深处，滴溜溜的下垂眼 。
长睫毛只保养了一点 。
眉毛看起来也不那么修整，所以是天然物的美人 。
之所以看起来有点前倾，大概是因为隐藏了巨乳吧 。
从小就一直被看的话，自然会有那样的姿势 。
现在也穿着这个世界的衣服，尺寸太邋遢了 。
这也是因为根据胸部选择尺寸的缘故 。
这姐姐有弟弟 。
两个都是非常美丽的姐弟啊 。
但是，现在还没到那个地步 。
「是你治好了吗？」「是的 。
恢复技能……就这样的话好像就死了」「不，真是帮了大忙了 。
谢谢」我在床上低头 。
光是这样就有剧痛，礼得好好说一下 。
「啊，我是什么状态？「嗯，倒在城堡的走廊里了 。
骑士们在吵闹，我想这是什么呢……想起了「浑身是血」「啊……」 。
原来是在训练场被从后面砍了 。
就这样为了逃避埃莉奥拉从训练场出来，于是意识中断了 。
一想起来各种各样的感情就复苏了 。
是愤怒和恐惧 。
为什么那个女人突然砍了我？明明胜负已定 。
堂堂正正地去哪儿了？「那个，桐谷先生」「娜奥特就行了 。
我也叫萤火虫」「娜奥特……你为什么在那种地方？原来是被幽闭了」「为了逃避那个幽闭而策划了很多 。
结果，这样出去就好了」「……对不起」突然低头的萤火虫 。
「你为什么道歉？」「全部都是弟弟……米基希科邀请的 。
我知道把同世界的人关起来是不好的，但是阻止不了」「那不是萤火虫道歉吧」这样总是为弟弟低头吗？一想到她的遭遇，我就生气了 。
「但是米基希科不是坏孩子 。
请相信我」「……啊，嗯，我明白」如果真的警戒转移者的话，我会马上杀了他 。
不知道有什么技能的对方永远活下去 。
没有杀戮的胆量，逃跑或远离 。
不要特意放在自己家的地下 。
「你有被欺负过吗？「嗯？」「不，因为警戒心很清楚 。
即使封印了我的技能，也好像害怕我」「没有被欺负的经历……」 。
倒不如说是为了保护我自己去吵架而胡闹的孩子」被欺负的是萤火虫吗？「现在也是这样 。
为了让我回到原来的世界，采取安全的方法」「啊……是这样吗！」劫持一个国家闷在自己城堡里的理由是什么？不是为了保护米基希科本人，而是为了她吗？我不知道结界外有什么样的怪物 。
在弱的怪物中，也有突然混入超过50级的猛者的时候 。
虽然可能性很小，但也不能让姐姐处于危险之中 。
所以米奇希想切实可靠地安全地提高水平 。
为了让这个国家都保护姐姐 。
「是吗，是吗……是那样的人吗？」我明白了一个叫米基希科的人 。
果然不是坏人 。
嗯，那个暂且不论——「那个，我想拜托你，能叫我米基希科吗？「嗯……？「萤火虫的恢复技能好像不够……也许是真的 。
」血从缠着绷带的肚子里渗出来了 。
以为被修复了的伤口开了 。
而且这个不是从腹部贯穿到背部吗？那时不是被砍了而是被刺了吗？「啊，啊，那个，对不起！我的技能很弱！「好的，好的，拜托了……！快点……！』几分钟后，萤火虫拉着米基希科来了 。
「喂，你在干什么，姐姐！「拜托，这样下去娜奥特先生会死的！我来帮你，米基希科！「不，我也不能使用那么强的恢复技能！「我会想办法的，米基希科！』在我的床前反复推问，还没到那个地步 。
差不多因为出血意识模糊了 。
「啊……拜托了米奇科 。
